id,name,count
CL:0008034,mural cell,529348
CL:0008035,microcirculation associated smooth muscle cell,15257
CL:0008036,extravillous trophoblast,95362
CL:0009002,inflammatory cell,91
CL:0009005,salivary gland cell,2550
CL:0009006,enteroendocrine cell of small intestine,1662
CL:0009008,gastrointestinal tract (lamina propria) macrophage of large intestine,807
CL:0009009,paneth cell of colon,1393
CL:0009010,transit amplifying cell,168207
CL:0009011,transit amplifying cell of colon,20068
CL:0009012,transit amplifying cell of small intestine,6439
CL:0009016,intestinal crypt stem cell of large intestine,1337
CL:0009017,intestinal crypt stem cell of small intestine,3342
CL:0009022,stromal cell of lamina propria of small intestine,640
CL:0009038,colon macrophage,1252
CL:0009039,colon goblet cell,3156
CL:0009041,tuft cell of colon,2645
CL:0009042,enteroendocrine cell of colon,199
CL:0009043,intestinal crypt stem cell of colon,10983
CL:0009070,corticomedullary thymic epithelial cell,12692
CL:0009071,medullary thymic epithelial cell type 1,9338
CL:0009072,medullary thymic epithelial cell type 2,1878
CL:0009073,medullary thymic epithelial cell type 3,1997
CL:0009075,myo-medullary thymic epithelial cell,2337
CL:0009076,neuro-medullary thymic epithelial cell,3661
CL:0009078,thymic fibroblast type 1,32606
CL:0009079,thymic fibroblast type 2,24643
CL:0009080,tuft cell of small intestine,844
CL:0009086,endothelial cell of respiratory system lymphatic vessel,3366
CL:0009089,lung pericyte,20682
CL:0009092,endothelial cell of placenta,24836
CL:0009095,endothelial cell of uterus,13271
CL:0009099,fibro/adipogenic progenitor cell,16021
CL:0009111,centrocyte,1197
CL:0009112,centroblast,3663
CL:0009113,T follicular regulatory cell,831
CL:0009116,progenitor cell of mammary luminal epithelium,18784
CL:0010001,stromal cell of bone marrow,213
CL:0010003,epithelial cell of alveolus of lung,31359
CL:0010006,cardiac blood vessel endothelial cell,72633
CL:0010008,cardiac endothelial cell,82616
CL:0010011,cerebral cortex GABAergic interneuron,81177
CL:0010012,cerebral cortex neuron,183017
CL:0010022,cardiac neuron,18342
CL:0011004,lens fiber cell,1101
CL:0011005,GABAergic interneuron,2630
CL:0011012,neural crest cell,9896
CL:0011019,mesothelial cell of epicardium,5037
CL:0011020,neural progenitor cell,238012
CL:0011024,double negative T regulatory cell,5147
CL:0011025,exhausted T cell,5261
CL:0011026,progenitor cell,86803
CL:0011027,skeletal muscle fibroblast,5913
CL:0011031,monocyte-derived dendritic cell,12490
CL:0011101,chorionic trophoblast cell,366
CL:0011103,sympathetic neuron,4744
CL:0011108,colon epithelial cell,47622
CL:0011115,precursor cell,567
CL:0012001,neuron of the forebrain,1332
CL:0013000,forebrain radial glial cell,70485
CL:0017000,pulmonary ionocyte,2660
CL:0019001,tracheobronchial serous cell,8950
CL:0019003,tracheobronchial goblet cell,2158
CL:0019018,blood vessel smooth muscle cell,67226
CL:0019019,tracheobronchial smooth muscle cell,27569
CL:0019021,endothelial cell of periportal hepatic sinusoid,8479
CL:0019022,endothelial cell of pericentral hepatic sinusoid,35210
CL:0019026,periportal region hepatocyte,180994
CL:0019028,midzonal region hepatocyte,46630
CL:0019029,centrilobular region hepatocyte,95093
CL:0019031,intestine goblet cell,23655
CL:0019032,intestinal tuft cell,6650
CL:1000022,mesonephric nephron tubule epithelial cell,3513
CL:1000042,forebrain neuroblast,21456
CL:1000143,lung goblet cell,2664
CL:1000223,lung neuroendocrine cell,2522
CL:1000271,lung ciliated cell,36170
CL:1000272,lung secretory cell,48231
CL:1000275,smooth muscle cell of small intestine,255
CL:1000278,smooth muscle fiber of ileum,54
CL:1000279,smooth muscle cell of large intestine,1197
CL:1000296,epithelial cell of urethra,23634
CL:1000299,fibroblast of connective tissue of prostate,3027
CL:1000304,fibroblast of connective tissue of nonglandular part of prostate,7654
CL:1000305,fibroblast of connective tissue of glandular part of prostate,3106
CL:1000309,epicardial adipocyte,9956
CL:1000311,adipocyte of epicardial fat of left ventricle,523
CL:1000312,bronchial goblet cell,4122
CL:1000320,large intestine goblet cell,4671
CL:1000326,ileal goblet cell,230
CL:1000329,tracheal goblet cell,70417
CL:1000330,serous cell of epithelium of trachea,978
CL:1000331,serous cell of epithelium of bronchus,45
CL:1000333,serous cell of epithelium of lobular bronchiole,719
CL:1000334,enterocyte of epithelium of small intestine,11250
CL:1000339,enterocyte of epithelium proper of small intestine,4245
CL:1000340,enterocyte of epithelium proper of duodenum,40485
CL:1000341,enterocyte of epithelium proper of jejunum,1215
CL:1000342,enterocyte of epithelium proper of ileum,20240
CL:1000343,paneth cell of epithelium of small intestine,5776
CL:1000347,enterocyte of colon,43157
CL:1000348,basal cell of epithelium of trachea,32681
CL:1000349,basal cell of epithelium of bronchus,521
CL:1000352,basal cell of epithelium of lobular bronchiole,121
CL:1000353,microfold cell of epithelium of small intestine,19
CL:1000398,endothelial cell of hepatic sinusoid,10374
CL:1000412,endothelial cell of arteriole,4578
CL:1000413,endothelial cell of artery,253228
CL:1000414,endothelial cell of venule,15975
CL:1000428,stem cell of epidermis,1187
CL:1000432,conjunctival epithelial cell,38558
CL:1000443,ciliary muscle cell,21468
CL:1000447,epithelial cell of stratum germinativum of esophagus,754
CL:1000448,epithelial cell of sweat gland,301
CL:1000449,epithelial cell of nephron,23259
CL:1000450,epithelial cell of glomerular capsule,651
CL:1000452,parietal epithelial cell,11269
CL:1000458,melanocyte of skin,2760
CL:1000486,basal cell of urothelium,20484
CL:1000487,smooth muscle cell of prostate,8702
CL:1000488,cholangiocyte,7599
CL:1000491,mesothelial cell of pleura,135
CL:1000494,nephron tubule epithelial cell,495
CL:1000495,small intestine goblet cell,10325
